id,platform,content,sentiment_score,sentiment_label,likes,time
1,douyin,陪着父母去旅游，他们开心极了…,0.6203,正面,3,2024-08-06
2,douyin,叫120等了40分钟才到，急救反应太慢了。,0.0667,负面,36,2024-05-15
3,douyin,养老院条件太差了，费用还死贵,0.1717,负面,10,2024-02-11
4,douyin,特别延迟退休政策对老年人有什么影响！,0.4656,中性,6,2024-10-22
5,douyin,陪着父母去旅游，他们开心极了…,0.8055,正面,1,2024-09-11
6,douyin,特别社区养老服务越来越好了，点赞,0.6239,正面,1,2024-01-09
7,douyin,感觉老年舞蹈队跳得真好看，充满活力💪,0.6568,正面,1,2024-10-01
8,douyin,非常听说日本老龄化更严重，可以学习经验,0.2686,中性,18,2024-07-22
9,douyin,实在延迟退休政策对老年人有什么影响😔,0.3603,中性,6,2024-03-15
10,douyin,老年志愿者真了不起，值得尊敬🤔,0.9151,正面,9,2024-04-25
11,douyin,有点养老基金还够不够用啊👍,0.5119,中性,1,2024-12-12
12,douyin,直播坑老人买保健品，太可恶了👍,0.0217,负面,48,2024-04-19
13,douyin,简直陪着父母去旅游，他们开心极了💪,0.7581,正面,15,2024-10-16
14,douyin,社区没有老年活动场所，天天在家发呆👍,0.1637,负面,2,2024-07-15
15,douyin,社区食堂对老年人优惠，真的很贴心…,0.8728,正面,2,2024-05-27
16,douyin,养老基金还够不够用啊💪,0.2719,中性,2,2024-02-18
17,douyin,直播坑老人买保健品，太可恶了！,0.1974,负面,2,2024-07-06
18,douyin,每个家庭都会面临养老问题😔,0.3623,中性,5,2024-07-13
19,douyin,老年产业应该是个新风口,0.2899,中性,4,2024-03-18
20,douyin,老年人也要与时俱进，学会用智能手机,0.9415,正面,2,2024-05-15
21,douyin,陪着父母去旅游，他们开心极了,0.6419,正面,7,2024-05-07
22,douyin,社区食堂对老年人优惠，真的很贴心,0.7177,正面,1,2024-04-07
23,douyin,老年人是社会的财富，应该多关心他们,0.7286,正面,2,2024-04-24
24,douyin,老年生活也可以很精彩，活到老学到老,0.7659,正面,3,2024-03-17
25,douyin,感觉老年公交卡真方便，出行无忧🤔,0.8426,正面,4,2024-06-08
26,douyin,子女都在外地打工，老人独居太可怜！,0.109,负面,12,2024-01-18
27,douyin,特别每个家庭都会面临养老问题🤔,0.4168,中性,2,2024-11-13
28,douyin,有些每个家庭都会面临养老问题😔,0.2948,中性,5,2024-04-28
29,douyin,老年人也要与时俱进，学会用智能手机,0.6077,正面,6,2024-09-14
30,douyin,特别尊老爱幼是传统美德，大家都要学习🤔,0.7054,正面,1,2024-02-15
31,douyin,太老年人也要与时俱进，学会用智能手机🤔,0.8818,正面,6,2024-10-20
32,douyin,去大医院排队排到心塞，老年人体力吃不消🤔,0.1629,负面,1,2024-09-07
33,douyin,老年公交卡真方便，出行无忧,0.6832,正面,1,2024-04-07
34,douyin,人口结构变化会影响经济发展💪,0.5243,中性,35,2024-04-13
35,douyin,老年舞蹈队跳得真好看，充满活力🤔,0.6632,正面,44,2024-06-10
36,douyin,建议老年公交卡真方便，出行无忧😔,0.7489,正面,13,2024-06-07
37,douyin,实在老年人是社会的财富，应该多关心他们,0.775,正面,2,2024-05-18
38,douyin,简直老年生活也可以很精彩，活到老学到老😔,0.6819,正面,1,2024-09-21
39,douyin,陪着父母去旅游，他们开心极了💪,0.7454,正面,8,2024-08-15
40,douyin,养老模式到底是居家好还是去养老院好😔,0.3008,中性,4,2024-03-18
41,douyin,陪着父母去旅游，他们开心极了🤔,0.8887,正面,1,2024-01-25
42,douyin,实在陪着父母去旅游，他们开心极了,0.8023,正面,5,2024-04-17
43,douyin,养老金年年涨，生活有保障😔,0.8051,正面,1,2024-11-16
44,douyin,建议老年志愿者真了不起，值得尊敬！,0.7145,正面,24,2024-09-10
45,douyin,老年人也要与时俱进，学会用智能手机,0.8196,正面,2,2024-02-04
46,douyin,养老金年年涨，生活有保障！,0.7606,正面,8,2024-07-03
47,douyin,社区没有老年活动场所，天天在家发呆,0.1174,负面,3,2024-05-22
48,douyin,有些老龄化是社会发展的必然趋势😔,0.2781,中性,5,2024-01-21
49,douyin,重庆的老龄化程度在全国处于什么水平。,0.4,中性,5,2024-10-28
50,douyin,建议直播带货卖假货给老人，没人管管吗🙏,0.0181,负面,2,2024-08-09
51,douyin,子女都在外地打工，老人独居太可怜🙏,0.1859,负面,48,2024-11-02
52,douyin,实在农村老人看病太难了，要走几十里路💪,0.013,负面,12,2024-07-03
53,douyin,老年生活也可以很精彩，活到老学到老🤔,0.7767,正面,31,2024-09-11
54,douyin,不知道未来养老政策会怎么调整,0.4871,中性,21,2024-09-24
55,douyin,感觉老年人经验丰富，是年轻人的好老师🙏,0.6429,正面,6,2024-10-13
56,douyin,退休后参加老年大学，感觉生活充实多了,0.8634,正面,26,2024-06-18
57,douyin,感觉社区食堂对老年人优惠，真的很贴心！,0.7844,正面,1,2024-04-23
58,douyin,尊老爱幼是传统美德，大家都要学习,0.702,正面,2,2024-12-13
59,douyin,特别社区养老服务越来越好了，点赞！,0.5521,正面,1,2024-02-05
60,douyin,小区新安装了老年健身器材，方便多了,0.7728,正面,3,2024-01-03
61,douyin,太养老金年年涨，生活有保障,0.7892,正面,3,2024-05-14
62,douyin,老年产业应该是个新风口🙏,0.5216,中性,2,2024-09-06
63,douyin,退休后参加老年大学，感觉生活充实多了,0.6705,正面,15,2024-03-14
64,douyin,简直小区新安装了老年健身器材，方便多了💪,0.8631,正面,3,2024-11-16
65,douyin,尊老爱幼是传统美德，大家都要学习。,0.6719,正面,2,2024-10-13
66,douyin,老年人经验丰富，是年轻人的好老师🙏,0.8762,正面,5,2024-03-10
67,douyin,太听说日本老龄化更严重，可以学习经验。,0.3937,中性,1,2024-05-24
68,douyin,太很多公园没有无障碍通道，轮椅过不去。,0.0561,负面,13,2024-02-19
69,douyin,老年产业应该是个新风口,0.304,中性,1,2024-12-15
70,douyin,太退休后参加老年大学，感觉生活充实多了🤔,0.8825,正面,78,2024-08-05
71,douyin,社区食堂对老年人优惠，真的很贴心…,0.6117,正面,11,2024-02-15
72,douyin,老年产业应该是个新风口💪,0.402,中性,2,2024-07-18
73,douyin,养老模式到底是居家好还是去养老院好🙏,0.4605,中性,1,2024-11-03
74,douyin,养老模式到底是居家好还是去养老院好🙏,0.2999,中性,14,2024-11-22
75,douyin,农村老人看病太难了，要走几十里路,0.1935,负面,9,2024-02-09
76,douyin,老年志愿者真了不起，值得尊敬,0.7732,正面,10,2024-08-12
77,douyin,社区食堂对老年人优惠，真的很贴心。,0.7854,正面,11,2024-01-16
78,douyin,建议老年公交卡真方便，出行无忧,0.9347,正面,1,2024-06-10
79,douyin,确实老年生活也可以很精彩，活到老学到老😔,0.7584,正面,3,2024-12-23
80,douyin,退休后参加老年大学，感觉生活充实多了,0.5679,正面,1,2024-06-21
81,douyin,不知道未来养老政策会怎么调整👍,0.529,中性,18,2024-03-18
82,douyin,太老年人经验丰富，是年轻人的好老师🤔,0.9334,正面,7,2024-03-06
83,douyin,感觉老年人也要与时俱进，学会用智能手机…,0.7956,正面,3,2024-07-01
84,douyin,老年舞蹈队跳得真好看，充满活力🙏,0.8315,正面,1,2024-02-26
85,douyin,有点老年生活也可以很精彩，活到老学到老👍,0.733,正面,3,2024-11-11
86,douyin,有点养老基金还够不够用啊🙏,0.2843,中性,3,2024-03-27
87,douyin,确实医院对老年人没有专门的照顾窗口,0.0261,负面,10,2024-05-04
88,douyin,尊老爱幼是传统美德，大家都要学习,0.7543,正面,7,2024-10-13
89,douyin,社区食堂对老年人优惠，真的很贴心,0.765,正面,20,2024-09-06
90,douyin,尊老爱幼是传统美德，大家都要学习,0.6758,正面,4,2024-06-01
91,douyin,陪着父母去旅游，他们开心极了🤔,0.7036,正面,1,2024-08-14
92,douyin,感觉陪着父母去旅游，他们开心极了,0.7275,正面,9,2024-04-10
93,douyin,老年志愿者真了不起，值得尊敬🙏,0.6655,正面,11,2024-12-25
94,douyin,有些社区养老服务越来越好了，点赞。,0.7791,正面,6,2024-09-27
95,douyin,人口结构变化会影响经济发展,0.4139,中性,11,2024-12-27
96,douyin,确实老年人是社会的财富，应该多关心他们😔,0.7299,正面,5,2024-02-25
97,douyin,建议老年人也要与时俱进，学会用智能手机🙏,0.7852,正面,5,2024-11-14
98,douyin,听说日本老龄化更严重，可以学习经验🙏,0.4941,中性,4,2024-06-18
99,douyin,不知道未来养老政策会怎么调整！,0.3471,中性,1,2024-10-09
100,douyin,老年舞蹈队跳得真好看，充满活力！,0.8643,正面,1,2024-11-05
101,douyin,希望老年人也要与时俱进，学会用智能手机…,0.6788,正面,1,2024-08-05
102,douyin,每个家庭都会面临养老问题,0.3856,中性,7,2024-07-17
