id,platform,content,sentiment_score,sentiment_label,likes,time
1,kuaishou,养老院条件太差了，费用还死贵😔,0.0708,负面,2,2024-12-02
2,kuaishou,希望老龄化是社会发展的必然趋势,0.3696,中性,2,2024-06-02
3,kuaishou,太子女都在外地打工，老人独居太可怜…,0.18,负面,23,2024-12-20
4,kuaishou,养老基金还够不够用啊,0.2615,中性,2,2024-05-18
5,kuaishou,实在养老模式到底是居家好还是去养老院好👍,0.5057,中性,2,2024-07-15
6,kuaishou,感谢政府对老年人的关怀和照顾,0.8806,正面,11,2024-11-08
7,kuaishou,养老基金还够不够用啊,0.504,中性,4,2024-04-18
8,kuaishou,尊老爱幼是传统美德，大家都要学习。,0.6543,正面,12,2024-03-18
9,kuaishou,人口结构变化会影响经济发展…,0.3034,中性,1,2024-03-19
10,kuaishou,养老金年年涨，生活有保障。,0.6387,正面,4,2024-09-20
11,kuaishou,陪着父母去旅游，他们开心极了👍,0.9466,正面,1,2024-12-13
12,kuaishou,太社区食堂对老年人优惠，真的很贴心👍,0.7459,正面,1,2024-06-01
13,kuaishou,简直延迟退休政策对老年人有什么影响！,0.4975,中性,23,2024-11-20
14,kuaishou,直播带货卖假货给老人，没人管管吗,0.1073,负面,1,2024-08-20
15,kuaishou,老年生活也可以很精彩，活到老学到老🙏,0.7586,正面,5,2024-04-09
16,kuaishou,特别感谢政府对老年人的关怀和照顾！,0.6341,正面,4,2024-08-04
17,kuaishou,去大医院排队排到心塞，老年人体力吃不消。,0.0304,负面,3,2024-10-07
18,kuaishou,太陪着父母去旅游，他们开心极了😔,0.9302,正面,22,2024-06-02
19,kuaishou,希望老年人在家摔倒没人知道怎么办,0.191,负面,1,2024-05-25
20,kuaishou,有些感谢政府对老年人的关怀和照顾,0.6209,正面,8,2024-12-19
21,kuaishou,有点养老金年年涨，生活有保障,0.843,正面,43,2024-05-12
22,kuaishou,老年志愿者真了不起，值得尊敬。,0.7607,正面,6,2024-07-06
23,kuaishou,骗子专门盯着老年人骗，防不胜防…,0.1637,负面,30,2024-07-02
24,kuaishou,医院对老年人没有专门的照顾窗口😔,0.1062,负面,1,2024-09-15
25,kuaishou,尊老爱幼是传统美德，大家都要学习👍,0.6053,正面,4,2024-06-24
26,kuaishou,感谢政府对老年人的关怀和照顾。,0.8432,正面,2,2024-06-26
27,kuaishou,尊老爱幼是传统美德，大家都要学习,0.6718,正面,10,2024-02-26
28,kuaishou,叫120等了40分钟才到，急救反应太慢了,0.0359,负面,64,2024-01-05
29,kuaishou,老年生活也可以很精彩，活到老学到老,0.7845,正面,2,2024-04-05
30,kuaishou,特别养老模式到底是居家好还是去养老院好😔,0.2708,中性,8,2024-01-17
31,kuaishou,确实每个家庭都会面临养老问题！,0.4167,中性,2,2024-05-10
32,kuaishou,养老金年年涨，生活有保障😔,0.948,正面,6,2024-12-08
33,kuaishou,社区食堂对老年人优惠，真的很贴心！,0.8655,正面,4,2024-11-14
34,kuaishou,不知道未来养老政策会怎么调整💪,0.3599,中性,50,2024-12-06
35,kuaishou,社区养老服务越来越好了，点赞,0.7603,正面,6,2024-12-18
36,kuaishou,感觉听说日本老龄化更严重，可以学习经验,0.5009,中性,3,2024-11-01
37,kuaishou,确实老龄化是社会发展的必然趋势👍,0.3631,中性,1,2024-04-14
38,kuaishou,老年生活也可以很精彩，活到老学到老,0.837,正面,1,2024-09-06
39,kuaishou,老年人也要与时俱进，学会用智能手机,0.5848,正面,2,2024-06-16
40,kuaishou,老年人也要与时俱进，学会用智能手机！,0.9393,正面,2,2024-08-05
41,kuaishou,感觉养老金年年涨，生活有保障,0.9269,正面,16,2024-09-27
42,kuaishou,社区食堂对老年人优惠，真的很贴心…,0.7715,正面,6,2024-01-18
43,kuaishou,有点重庆的老龄化程度在全国处于什么水平🤔,0.4436,中性,5,2024-04-07
44,kuaishou,听说日本老龄化更严重，可以学习经验,0.5277,中性,1,2024-01-11
45,kuaishou,养老金年年涨，生活有保障,0.9321,正面,17,2024-12-14
46,kuaishou,感觉老年痴呆走失了警察也找不到,0.0911,负面,9,2024-11-10
47,kuaishou,希望尊老爱幼是传统美德，大家都要学习。,0.6446,正面,1,2024-12-08
48,kuaishou,建议退休后参加老年大学，感觉生活充实多了🤔,0.6567,正面,9,2024-08-24
49,kuaishou,真的老年舞蹈队跳得真好看，充满活力🙏,0.7072,正面,5,2024-06-09
50,kuaishou,老年舞蹈队跳得真好看，充满活力,0.7492,正面,1,2024-03-15
51,kuaishou,真的养老金年年涨，生活有保障。,0.6197,正面,4,2024-04-22
52,kuaishou,建议人口结构变化会影响经济发展。,0.4656,中性,4,2024-03-19
53,kuaishou,老年人是社会的财富，应该多关心他们,0.8749,正面,1,2024-03-26
54,kuaishou,简直老年舞蹈队跳得真好看，充满活力,0.8404,正面,33,2024-01-02
55,kuaishou,人口结构变化会影响经济发展😔,0.432,中性,16,2024-09-17
56,kuaishou,老年生活也可以很精彩，活到老学到老。,0.8273,正面,8,2024-11-17
57,kuaishou,社区食堂对老年人优惠，真的很贴心,0.764,正面,4,2024-04-01
58,kuaishou,去大医院排队排到心塞，老年人体力吃不消🙏,0.1853,负面,4,2024-10-11
59,kuaishou,简直感谢政府对老年人的关怀和照顾💪,0.8841,正面,7,2024-10-28
60,kuaishou,建议尊老爱幼是传统美德，大家都要学习🙏,0.8072,正面,5,2024-12-12
61,kuaishou,老年生活也可以很精彩，活到老学到老💪,0.7412,正面,1,2024-09-07
62,kuaishou,听说日本老龄化更严重，可以学习经验😔,0.5235,中性,5,2024-02-07
63,kuaishou,实在社区养老服务越来越好了，点赞💪,0.6081,正面,13,2024-03-04
64,kuaishou,陪着父母去旅游，他们开心极了😔,0.8247,正面,4,2024-07-15
65,kuaishou,养老金年年涨，生活有保障,0.8586,正面,1,2024-02-13
66,kuaishou,建议老年公交卡真方便，出行无忧,0.6223,正面,12,2024-08-05
67,kuaishou,老年产业应该是个新风口,0.478,中性,2,2024-10-24
68,kuaishou,简直养老金年年涨，生活有保障👍,0.627,正面,2,2024-01-22
69,kuaishou,有些老年公交卡真方便，出行无忧,0.8161,正面,1,2024-03-25
70,kuaishou,社区养老服务越来越好了，点赞🤔,0.6638,正面,3,2024-07-21
71,kuaishou,买药太贵了，慢性病吃药一年花好几万,0.0117,负面,11,2024-03-20
72,kuaishou,老年人是社会的财富，应该多关心他们💪,0.886,正面,5,2024-06-12
73,kuaishou,直播坑老人买保健品，太可恶了,0.164,负面,2,2024-04-23
74,kuaishou,老年人也要与时俱进，学会用智能手机,0.7834,正面,19,2024-04-15
75,kuaishou,特别老年生活也可以很精彩，活到老学到老👍,0.7195,正面,19,2024-06-13
76,kuaishou,确实不知道未来养老政策会怎么调整💪,0.3136,中性,18,2024-03-01
77,kuaishou,感觉直播带货卖假货给老人，没人管管吗,0.0202,负面,2,2024-08-08
78,kuaishou,建议尊老爱幼是传统美德，大家都要学习💪,0.7896,正面,4,2024-02-14
79,kuaishou,非常叫120等了40分钟才到，急救反应太慢了👍,0.0883,负面,72,2024-11-04
80,kuaishou,陪着父母去旅游，他们开心极了🤔,0.6134,正面,11,2024-11-01
81,kuaishou,真的延迟退休政策对老年人有什么影响🙏,0.2597,中性,1,2024-06-13
82,kuaishou,非常老年舞蹈队跳得真好看，充满活力🙏,0.8059,正面,1,2024-02-12
83,kuaishou,养老模式到底是居家好还是去养老院好,0.3616,中性,4,2024-04-09
84,kuaishou,太养老院条件太差了，费用还死贵,0.169,负面,24,2024-02-02
85,kuaishou,建议老年产业应该是个新风口…,0.2868,中性,5,2024-09-08
86,kuaishou,实在退休后参加老年大学，感觉生活充实多了…,0.8554,正面,5,2024-09-02
87,kuaishou,确实老年舞蹈队跳得真好看，充满活力,0.8407,正面,1,2024-10-01
88,kuaishou,有些老年痴呆走失了警察也找不到,0.0216,负面,8,2024-07-15
