id,platform,content,sentiment_score,sentiment_label,likes,time
1,kuaishou,希望老年舞蹈队跳得真好看，充满活力😔,0.8034,正面,2,2024-06-08
2,kuaishou,退休后参加老年大学，感觉生活充实多了。,0.923,正面,2,2024-03-09
3,kuaishou,老年人经验丰富，是年轻人的好老师,0.8752,正面,23,2024-02-07
4,kuaishou,社区没有老年活动场所，天天在家发呆！,0.1876,负面,2,2024-09-19
5,kuaishou,老年人是社会的财富，应该多关心他们😔,0.9426,正面,2,2024-10-04
6,kuaishou,特别感谢政府对老年人的关怀和照顾,0.5978,正面,11,2024-01-28
7,kuaishou,确实老年志愿者真了不起，值得尊敬💪,0.7641,正面,4,2024-11-14
8,kuaishou,特别社区食堂对老年人优惠，真的很贴心🙏,0.7766,正面,12,2024-12-09
9,kuaishou,老年生活也可以很精彩，活到老学到老！,0.6382,正面,1,2024-09-12
10,kuaishou,老年志愿者真了不起，值得尊敬,0.7836,正面,4,2024-07-07
11,kuaishou,直播坑老人买保健品，太可恶了！,0.1185,负面,1,2024-08-04
12,kuaishou,老年人经验丰富，是年轻人的好老师,0.6384,正面,1,2024-03-08
13,kuaishou,老年生活也可以很精彩，活到老学到老🙏,0.8185,正面,23,2024-07-15
14,kuaishou,陪着父母去旅游，他们开心极了😔,0.5828,正面,1,2024-03-24
15,kuaishou,很多公园没有无障碍通道，轮椅过不去！,0.0822,负面,5,2024-04-22
16,kuaishou,有点老年公交卡真方便，出行无忧👍,0.7596,正面,4,2024-10-13
17,kuaishou,建议养老模式到底是居家好还是去养老院好🤔,0.2934,中性,3,2024-07-06
18,kuaishou,建议感谢政府对老年人的关怀和照顾！,0.6913,正面,22,2024-04-13
19,kuaishou,建议子女都在外地打工，老人独居太可怜,0.1877,负面,1,2024-08-23
20,kuaishou,太感谢政府对老年人的关怀和照顾💪,0.6938,正面,8,2024-08-14
21,kuaishou,非常感谢政府对老年人的关怀和照顾😔,0.6414,正面,43,2024-03-06
22,kuaishou,子女都在外地打工，老人独居太可怜,0.1083,负面,6,2024-01-13
23,kuaishou,老年生活也可以很精彩，活到老学到老,0.586,正面,30,2024-10-23
24,kuaishou,老年志愿者真了不起，值得尊敬！,0.9228,正面,1,2024-03-28
25,kuaishou,老年公交卡真方便，出行无忧,0.6244,正面,4,2024-09-03
26,kuaishou,医院对老年人没有专门的照顾窗口💪,0.0199,负面,2,2024-03-10
27,kuaishou,简直直播带货卖假货给老人，没人管管吗🙏,0.0419,负面,10,2024-12-03
28,kuaishou,确实延迟退休政策对老年人有什么影响😔,0.4952,中性,64,2024-09-25
29,kuaishou,真的不知道未来养老政策会怎么调整。,0.4101,中性,2,2024-03-25
30,kuaishou,老年人是社会的财富，应该多关心他们…,0.7504,正面,8,2024-03-06
31,kuaishou,陪着父母去旅游，他们开心极了。,0.6029,正面,2,2024-10-26
32,kuaishou,简直小区新安装了老年健身器材，方便多了,0.6201,正面,6,2024-11-20
33,kuaishou,有些老年人经验丰富，是年轻人的好老师😔,0.6044,正面,4,2024-11-25
34,kuaishou,老年人也要与时俱进，学会用智能手机🤔,0.7116,正面,50,2024-09-12
35,kuaishou,有点老年产业应该是个新风口,0.5311,中性,6,2024-01-07
36,kuaishou,太养老模式到底是居家好还是去养老院好…,0.5026,中性,3,2024-07-10
37,kuaishou,太小区新安装了老年健身器材，方便多了🤔,0.6295,正面,1,2024-03-15
38,kuaishou,简直延迟退休政策对老年人有什么影响😔,0.3689,中性,1,2024-05-16
39,kuaishou,实在小区新安装了老年健身器材，方便多了…,0.6986,正面,2,2024-01-08
40,kuaishou,特别直播带货卖假货给老人，没人管管吗😔,0.0292,负面,2,2024-07-21
41,kuaishou,退休后参加老年大学，感觉生活充实多了😔,0.6919,正面,16,2024-01-28
42,kuaishou,感谢政府对老年人的关怀和照顾,0.6274,正面,6,2024-01-04
43,kuaishou,简直老年产业应该是个新风口🤔,0.3309,中性,5,2024-09-12
44,kuaishou,感谢政府对老年人的关怀和照顾🙏,0.8694,正面,1,2024-06-10
