区县,老龄化率,一区两群,城乡类型,排名,老龄化等级
巫溪县,0.34479310344827585,渝东北,远郊区县,1,深度
开州区,0.34354196428571426,渝东北,远郊区县,2,深度
巫山县,0.3407509090909091,渝东北,远郊区县,3,深度
石柱县,0.3380595238095238,渝东南,远郊区县,4,深度
云阳县,0.3373038461538462,渝东北,远郊区县,5,深度
城口县,0.33711162790697674,渝东北,远郊区县,6,深度
奉节县,0.33518315789473685,渝东北,远郊区县,7,深度
彭水县,0.3343078947368421,渝东南,远郊区县,8,深度
万州区,0.3319695652173913,渝东北,远郊区县,9,深度
秀山县,0.32853809523809524,渝东南,远郊区县,10,深度
武隆区,0.3234518518518519,渝东南,远郊区县,11,深度
忠县,0.3176798319327731,渝东北,远郊区县,12,深度
梁平区,0.3143093525179856,渝东北,远郊区县,13,深度
酉阳县,0.30624807692307693,渝东南,远郊区县,14,深度
垫江县,0.3032836065573771,渝东北,远郊区县,15,深度
黔江区,0.3001666666666667,渝东南,远郊区县,16,深度
丰都县,0.3001412162162162,渝东北,远郊区县,17,深度
永川区,0.2723626168224299,主城都市区,远郊区县,18,重度
涪陵区,0.2717018691588785,主城都市区,远郊区县,19,重度
璧山区,0.2701570093457944,主城都市区,远郊区县,20,重度
铜梁区,0.2653857142857143,主城都市区,远郊区县,21,重度
大足区,0.263185,主城都市区,远郊区县,22,重度
江津区,0.2624376344086021,主城都市区,远郊区县,23,重度
荣昌区,0.25928615384615383,主城都市区,远郊区县,24,重度
长寿区,0.2538380281690141,主城都市区,远郊区县,25,重度
潼南区,0.2504636363636364,主城都市区,远郊区县,26,重度
合川区,0.22558194444444443,主城都市区,远郊区县,27,中度
綦江区,0.22141884057971015,主城都市区,远郊区县,28,中度
南川区,0.22016,主城都市区,远郊区县,29,中度
渝中区,0.2165812030075188,主城都市区,中心城区,30,中度
大渡口区,0.21650502512562814,主城都市区,中心城区,31,中度
渝北区,0.2139887323943662,主城都市区,中心城区,32,中度
巴南区,0.21063216783216784,主城都市区,中心城区,33,中度
南岸区,0.2044668202764977,主城都市区,中心城区,34,中度
江北区,0.19752394366197182,主城都市区,中心城区,35,中度
沙坪坝区,0.196875,主城都市区,中心城区,36,中度
九龙坡区,0.18629718309859156,主城都市区,中心城区,37,中度
北碚区,0.18592375,主城都市区,中心城区,38,中度
