区县,2016年老龄化率,2024年老龄化率,增幅(百分点),增长率(%)
武隆区,0.25,0.32,6.87,26.96
璧山区,0.2,0.27,6.81,33.7
奉节县,0.27,0.34,6.34,23.33
巫溪县,0.28,0.34,6.24,22.1
铜梁区,0.2,0.27,6.04,29.46
忠县,0.26,0.32,6.0,23.28
江津区,0.2,0.26,5.93,29.2
涪陵区,0.21,0.27,5.82,27.26
长寿区,0.2,0.25,5.79,29.56
合川区,0.17,0.23,5.77,34.37
南岸区,0.15,0.2,5.62,37.9
垫江县,0.25,0.3,5.53,22.3
巴南区,0.16,0.21,5.5,35.35
梁平区,0.26,0.31,5.43,20.88
南川区,0.17,0.22,5.38,32.33
荣昌区,0.21,0.26,4.88,23.18
永川区,0.22,0.27,4.88,21.82
秀山县,0.28,0.33,4.75,16.9
云阳县,0.29,0.34,4.68,16.11
城口县,0.29,0.34,4.66,16.04
渝北区,0.17,0.21,4.66,27.84
黔江区,0.25,0.3,4.62,18.19
石柱县,0.29,0.34,4.57,15.63
綦江区,0.18,0.22,4.31,24.17
大足区,0.22,0.26,4.24,19.2
北碚区,0.14,0.19,4.23,29.46
大渡口区,0.17,0.22,4.19,24.0
潼南区,0.21,0.25,4.13,19.74
万州区,0.29,0.33,4.1,14.09
渝中区,0.18,0.22,4.06,23.07
沙坪坝区,0.16,0.2,4.0,25.49
开州区,0.3,0.34,3.96,13.03
酉阳县,0.27,0.31,3.88,14.51
巫山县,0.3,0.34,3.59,11.77
丰都县,0.26,0.3,3.57,13.5
江北区,0.16,0.2,3.48,21.39
九龙坡区,0.15,0.19,3.32,21.69
彭水县,0.3,0.33,3.07,10.11
