word,frequency,rank
老年人,374,1
老年,291,2
养老,177,3
生活,133,4
真的,128,5
感觉,120,6
社区,112,7
建议,101,8
老人,99,9
方便,98,10
老龄化,97,11
简直,94,12
确实,92,13
有点,88,14
有些,88,15
他们,87,16
特别,86,17
非常,84,18
学习,81,19
实在,80,20
退休,79,21
希望,79,22
社会,77,23
养老金,70,24
政策,69,25
照顾,69,26
养老院,68,27
影响,65,28
知道,57,29
与时俱进,55,30
学会,55,31
智能手机,55,32
发展,55,33
直播,52,34
保障,51,35
医院,50,36
经验丰富,50,37
年轻人,50,38
老师,50,39
财富,49,40
关心,49,41
公交,49,42
卡真,49,43
出行,49,44
无忧,49,45
小区,49,46
安装,49,47
健身器材,49,48
舞蹈队,48,49
跳得,48,50
好看,48,51
充满活力,48,52
志愿者,48,53
了不起,48,54
值得尊敬,48,55
尊老爱幼,48,56
传统美德,48,57
大家,48,58
食堂,47,59
优惠,47,60
贴心,47,61
在家,46,62
专门,46,63
服务,45,64
越来越,45,65
点赞,45,66
精彩,41,67
活到老,41,68
学到老,41,69
参加,41,70
老年大学,41,71
充实,41,72
政府,41,73
关怀,41,74
父母,38,75
旅游,38,76
开心,38,77
极了,38,78
延迟,38,79
感谢,37,80
产业,36,81
新风,36,82
模式,36,83
到底,36,84
居家,36,85
重庆,36,86
程度,36,87
全国,36,88
处于,36,89
水平,36,90
听说,33,91
日本,33,92
严重,33,93
经验,33,94
每个,33,95
家庭,33,96
面临,33,97
问题,33,98
条件,32,99
太差,32,100
